t,ego_x,ego_y,ego_z,ego_speed,ego_vx,ego_vy,lead_x,lead_y,lead_z,dist_lead,behavior
16.5500000000001,210.1887664794922,-374.79205322265625,0.0014137077378109097,2.1061889657679997,2.1061809062957764,0.005826618056744337,218.92721557617188,-374.7430114746094,-0.011136054992675781,8.738586711151497,0
16.6000000000001,210.29220581054688,-374.7916564941406,0.0014082526322454214,2.0329659512115037,2.032960891723633,0.004535582382231951,218.9951171875,-374.7430114746094,-0.01114250160753727,8.703047326828996,0
16.6500000000001,210.395751953125,-374.79132080078125,0.0014550590422004461,1.609740998134524,1.6097393035888672,0.002335713244974613,219.06173706054688,-374.7430114746094,-0.01113483402878046,8.666119758753217,0
16.700000000000102,210.48977661132812,-374.7908630371094,0.0015670204302296042,0.2893387962280236,0.28933095932006836,0.002129549626260996,219.12893676757812,-374.7429504394531,-0.011141891591250896,8.639293016349873,0
16.750000000000103,210.53001403808594,-374.7904968261719,0.0018993949051946402,0.10570723914288221,0.10570710897445679,0.00016588994185440242,219.19464111328125,-374.7429504394531,-0.011132278479635715,8.664757527542111,0
16.800000000000104,210.532958984375,-374.7904968261719,0.002100353129208088,0.3944416450478974,0.39444106817245483,0.000674601411446929,219.26089477539062,-374.7429504394531,-0.011139793321490288,8.728065297130948,0
16.850000000000104,210.547607421875,-374.79052734375,0.0020158959086984396,0.6536726614872496,0.6536726355552673,0.00018412510689813644,219.3258514404297,-374.742919921875,-0.011132697574794292,8.77837311327724,0
16.900000000000105,210.57550048828125,-374.79046630859375,0.0018726157722994685,0.9070392684357711,0.9070386290550232,0.001076980261132121,219.3914031982422,-374.742919921875,-0.01114044152200222,8.816030923856076,0
16.950000000000106,210.61593627929688,-374.79058837890625,0.0017401312943547964,1.1908887392782987,1.190885305404663,0.0028598445933312178,219.4554443359375,-374.742919921875,-0.011131439357995987,8.839636585584854,0
17.000000000000107,210.67001342773438,-374.79046630859375,0.0016271781641989946,1.4665099975917786,1.4665069580078125,0.002985825063660741,219.5200958251953,-374.7428894042969,-0.011139449663460255,8.850210280195064,0
17.050000000000107,210.73809814453125,-374.7904357910156,0.0015374183421954513,1.793204942091237,1.7932015657424927,0.003479792969301343,219.58351135253906,-374.7428894042969,-0.011133193969726562,8.845540994155703,0
17.100000000000108,210.82083129882812,-374.7903137207031,0.0014621925074607134,2.02177900900793,2.0217740535736084,0.004476333502680063,219.64768981933594,-374.7428894042969,-0.01114246342331171,8.826985918582173,0
17.15000000000011,210.91807556152344,-374.7900390625,0.0014098166720941663,2.1349443222441242,2.1349399089813232,0.004340981598943472,219.7103729248047,-374.7428283691406,-0.011133498512208462,8.792424112491952,0
17.20000000000011,211.02308654785156,-374.7897644042969,0.0014055060455575585,2.0593591455236315,2.059356689453125,0.003180543426424265,219.77365112304688,-374.7428283691406,-0.011141051538288593,8.75069045139064,0
17.25000000000011,211.12799072265625,-374.7893981933594,0.0014538383111357689,1.634022445988853,1.6340219974517822,0.0012107184156775475,219.83558654785156,-374.7428283691406,-0.011133117601275444,8.707720356298001,0
